"Topic","Question","Answer"
"Quantitative chem","Rearrange the ideal gas equation for P, V, n, R and T","..."
"Quantitative chem","What does R stand for?","The gas constant, 8.31JK⁻¹mol⁻¹"
"Quantitative chem","Calculate the X of a gas at...","Rearrange, convert to proper units and calculate"
"Quantitative chem","A gas is at P ___, V___ and T___ with a mass of Xg. Calculate its Mr.","Use n = PV/RT to calculate moles then X/moles to calculate Mr"
"Quantitative chem","What is the empirical formula of a substance?","The formula that represents the simplest whole number ratio of the atoms of each element present in the compound."
"Quantitative chem","A substance is composed of Xg of A, Yg of B and Zg of C. Establish its empirical formula.","Divide masses by Ar, convert to whole number ratio, apply to formula"
"Quantitative chem","What is the molecular formula?","The actual number of atoms of each element in one molecule of a compound"
"Quantitative chem","What is the formula of a named ionic compound?","Use the charges to work out how many of each ion are necessary to result in no net charge"
"Quantitative chem","What is an ionic equation?","A simplified equation showing the ions present in a reaction"
"Quantitative chem","What is a spectator ion?","An ion that does not take part in a reaction"
"Quantitative chem","Which substances produce ions in ionic equations?","Aqueous solutions of ionic compounds"
"Quantitative chem","Write an ionic equation for a given reaction","Correct identification of ions produced and removal of spectator ions"
"Quantitative chem","What is the atom economy of a reaction?","A ratio of the mass of desired product to the mass of all products"
"Quantitative chem","How is atom economy calculated?","(Mr or mass of desired product/Mr or mass of all products) x 100"
"Quantitative chem","Calculate the atom economy for a given reaction and a given desired product","(Mr or mass of desired product/Mr or mass of all products) x 100"
"Bonding","What type of bonding exists between metals and non-metals","Ionic bonding"
"Bonding","What happens to electrons in ionic bonding","They are transferred from metal to non-metal"
"Bonding","Describe the structure of ionic compounds","Giant ionic lattice of positive and negative ions held together by electrostatic forces"
"Bonding","Explain the melting point of ionic compounds","High melting point because strong electrostatic forces within ionic lattice"
"Bonding","Explain the electrical conductivity of ionic compounds","Conduct when molten or dissolved because ions can move but do not conduct as a solid because ions held in fixed position in lattice"
"Bonding","Which would you expect to have a higher melting point, NaCl or MgO and why","MgO because ions are double the charge of NaCl so stronger electrostatic forces"
"Bonding","What is the formula of the ionic compound …","..."
"Bonding","What happens to electrons in covalent bonding","Electrons are shared between non-metal atoms"
"Bonding","What is the difference between a single and double covalent bond","Single is 2 shared electrons in bond, double is 4 shared electrons"
"Bonding","Describe the bonding in diamond","Each carbon is bonded to 4 other carbons in a tetrahedral shape"
"Bonding","Describe the structure of graphite","Layers of carbon atoms arranged in hexagonal pattern with weak bonds and delocalised electrons between layers"
"Bonding","Explain why graphite conducts electricity","Delocalised electrons are free to move and carry charge"
"Bonding","Explain the hardness of diamond","Atoms are held in fixed positions"
"Bonding","What is a co-ordinate (dative) bond","Where one atom contributes both electrons in a covalent bond"
"Bonding","Give an example of a molecule with co-ordinate bonding","..."
"Bonding","Why do molecules have different shapes?","Electron pairs repel each other as far apart as possible."
"Bonding","Which has the greaterrepulsion effect lone pair of electrons or a covalent bond?","Lone pair"
"Bonding","What is the bond angle in a linear molecule?","180°"
"Bonding","What is the bond angle in a trigonal planermolecule?","120°"
"Bonding","What is the bond angle in a tetrahedral molecule ?","109°"
"Bonding","What shape molecule has 6 bonding electron pairs eg SF6, and what is the bond angle","Octahedral, 90 degrees"
"Bonding","What shape molecule has 5 bonding pairs eg. PCl5 and what are the bond angles","Trigonal bipyramidal, 90 degrees and 120 degrees"
"Bonding","What is the shape and bond angle of CH4. Why","Tetrahedral, 109.5 degree, electron pairs repel each other as far as possible"
"Bonding","How do lone pairs affect bond angles","Reduce bonding pair bond angles (by approx 2 degrees) as they repel more than bonding pairs"
"Bonding","What is the shape and bond angle in water. Why","Bent, 104.5 degree, 4 pairs of electrons including 2 lone pairs"
"Bonding","Why is the is the bond angle in water less than 180°?","Water contains twobonds and two lone pairs. Lone pairs repel further than bonded pairs of electrons."
"Bonding","Where in the periodic table are the most electronegative elements","Top right (not including noble gases)"
"Bonding","Which is the most electronegative element","Fluorine"
"Bonding","Which of these bonds will have a dipole? H-C or Cl-C","Cl-C"
"Bonding","What causes molecule to be polar (2 requirements)","significant differences in electronegativity and asymmetircal shape"
"Bonding","Why is CCl₄ not a polar molecule?","Symmetrical molecule so dipoles cancel out."
"Bonding","Define electronegativity","The ability of an atom to attract electron density (the electron pair) in a covalent bond"
"Bonding","What causes bond polarity","Differences in electronegativity between two atoms bonded together"
"Bonding","Draw a diagram to show the polarity of water","..."
"Bonding","Name the 3 types of intermolecular force in order from weakest to strongest","Van der Waals, dipole-dipole and hydrogen bonding"
"Bonding","Which type of intermolecular force exists between diatomic molecules","Van der waals only"
"Bonding","Which types of intermolecular force exist in …..","Dipole dipole forces"
"Bonding","Explain how Van der Waals forces arise","Temporary dipoles because of movement of electrons which induce temporary dipoles in neighbouring molecules"
"Bonding","Explain how dipole dipole forces arise","Partial positive charge attracting partial negative charge"
"Bonding","Explain why the boiling point of alkanes increase with increasing chain length","More Van der Waals forces"
"Bonding","Describe the structure of iodine","Molecular lattice of I/u2082 molecules held toegher by Van der Waals forces"
"Bonding","What 3 elements could be bonded to hydrogen to give hydrogen bonding","Oxygen, nitrogen or fluorine"
"Bonding","What is a hydriogen bond?","..."
"Bonding","Draw a diagram of water molecules and show the hydrogen bonding","..."
"Bonding","How does hydrogen bonding affect boiling point","Increases boiling point"
"Bonding","Describe the structure of ice","Regular lattice strucutre of water molecules held tgether by hydrogen bonding. Less dense than water"
"Bonding","Describe the strucutre of metals","Giant metallic lattice of positive metal ions surrounded by delocalised electrons"
"Bonding","Explain why Mg has a higher melting point than Na","Doubly charged metal ion"
"Bonding","Explain why metals condut electricity","Delocalised electrons are free to move and carry charge"
"Bonding","Explain why metals have high melting points","The dleocalised electrons are strongly attracted to the positive metal ions (strong metallic bonds) which requires a lot of energy to overcome"
"Periodicity","What is periodicity","Patterns that recur at regular intervals"
"Periodicity","Why do we group elements in the periodic table?","Because they have similar properties"
"Periodicity","In what order are the elements of the periodic table arranged?","Increasing atomic number"
"Periodicity","Which groups can be classed as s block?","Gp 1+2"
"Periodicity","Which group can be classed as d block?","Transition metals"
"Periodicity","Which groups can be classed as p block?","groups 3-7+0"
"Periodicity","Which group can be clased as f block?","lanthanides"
"Periodicity","How do you determine whether an element is in an s,p,d/f block?","Depending on which subshell electrons are being added to"
"Periodicity","Which energy level are the outer electronsin, in period 3 elements?","3rd"
"Periodicity","Why is sodium described as an s block element?","It is in the s block because the last orbitals to be filled are s orbitals."
"Periodicity","In which block are the transition metals?","d block"
"Periodicity","Which groups are in the s block?","groups 1 and 2"
"Periodicity","Define first ionisation energy","The removal of 1 mol of electrons from 1 mol of gaseous atoms."
"Periodicity","Write the equation to show the first ionisation of lithium","Li₍g₎→Li⁺₍g₎+ e⁻"
"Periodicity","What is the general trend of ionisation energy across period 2?","It increases"
"Periodicity","Why does first ionisation energy generally increase across period 2?","Greater attraction between nucleus and outer electrons"
"Periodicity","Why are the first ionisation energies of period 3 lower than those of p2 ?","electrons further away and shielded"
"Periodicity","Why is there a drop in first ionisation energy between Be and B?","The electrons have started to fill p orbitals which are further away from the nucleus"
"Periodicity","Why is there a drop in first ionisation energy between Mg and Al?","The electrons have started to fill p orbitals which are further away from the nucleus"
"Periodicity","Why is there a drop in first ionisation energy between N and O?","electrons have started to pair in p orbitals. Electron is repulsed by the other electron making it easier to remove."
"Periodicity","Why is there a drop in first ionisation energy between P and S?","electrons have started to pair in p orbitals. Electron is repulsed by the other electron making it easier to remove."
"Alkanes","What is an empirical formula?","The simplest whole number ratio of atoms of each element in a compound"
"Alkanes","What is a molecular formula?","The formula that shows the actual number of atoms of each element in a molecule"
"Alkanes","What is a general formula?","A generalised formula which enables you to work out the molecular formula of a compound within a homologous series"
"Alkanes","What is a structural or shorthand formula?","A formula showing the arrangement of atoms in a substance without showing the bonds. E.g. CH₃CH/u2082CH₃"
"Alkanes","What is a displayed formula?","A formula showing the arrangement of atoms in a substance and all the bonds E.g."
"Alkanes","What is a skeletal formula?","A simplified version of a displayed formula where straight lines represent carbon-carbon bonds e.g."
"Alkanes","What is a hydrocarbon?","A compound made of atoms of hydrogen and carbon only"
"Alkanes","What is an alkane?","A hydrocarbon with only single bonds."
"Alkanes","What is chemical nomenclature?","The process of naming different organic compounds"
"Alkanes","Name a given branched alkane","Assign parent chain, assign branches a number and add as prefixes"
"Alkanes","What is isomerism?","When molecules have the same atoms but they are arranged differently in space"
"Alkanes","What is structural isomerism?","Where isomers have the same molecular formula but a different structure"
"Alkanes","What are the three types of structural isomerism?","Chain, position and functional"
"Alkanes","What is a saturated hydrocarbon?","A hydrocarbon with only single bonds"
"Alkanes","What is crude oil?","A mixture of mainly alkanes that can be separated by fractional distillation"
"Alkanes","What is fractional distillation?","The process of separating the alkanes in crude oil by use of their different melting points"
"Alkanes","What is cracking?","The process of breaking C-C bonds in alkanes to make shorter molecules"
"Alkanes","What are the two types of cracking?","Thermal cracking and catalytic cracking"
"Alkanes","How is thermal cracking carried out?","At high pressure and temperature"
"Alkanes","What is thermal cracking used for?","Producing a high percentage of alkenes"
"Alkanes","How is catalytic cracking carried out?","Slight pressure, high temperature, zeolite catalyst"
"Alkanes","What is catalytic cracking used for?","Production of motor fuels and aromatic hydrocarbons"
"Alkanes","Why is cracking carried out?","The products of cracking are in greater demand than the long chain alkanes"
"Alkanes","What is combustion?","The exothermic reaction of a fuel with oxygen"
"Alkanes","What is complete combustion?","A combustion reaction where there is enough oxygen to ensure products are purely carbon dioxide and water"
"Alkanes","What is incomplete combustion?","A combustion reaction where the lack of oxygen results in products other than carbon dioxide and water"
"Alkanes","What can the products of incomplete combustion be?","Carbon monoxide, carbon"
"Alkanes","Which pollutants are produced by the internal combustion engine?","Nitrogen oxides, carbon monoxide, carbon, unburned hydrocarbons"
"Alkanes","What is the purpose of a catalytic convertor?","To remove gaseous pollutants produced by internal combustion engines"
"Alkanes","How is sulphur dioxide released from combustion engines?","Through the combustion of hydrocarbons containing sulphur impurities"
"Alkanes","What is a flue gas?","The gas released from large industrial plants and power plants"
"Alkanes","How can sulphur dioxide be removed from flue gases?","By using calcium oxide or calcium carbonate to neutralise it"
"Alkanes","What is a free radical?","A reactive species containing an unpaired electron"
"Alkanes","How are free radicals signaled?","By use of a ∙ eg. Cl∙"
"Alkanes","How are chlorine free radicals produced?","Exposure to UV light"
"Alkanes","What is free radical substitution?","Where an atom bonded to a carbon is substituted for a free radical atom"
"Alkanes","Which steps are involved in a free radical substitution?","Initiation, propagation, termination"
"Alkanes","What is an initiation step?","The generation of a free radical"
"Alkanes","Give an example of an initiation step","Cl/u2082 → 2Cl∙"
"Alkanes","What is a propagation?","Intermediate steps in a free radical reaction which cause the regeneration of the original free radical"
"Alkanes","Give an example of a propagation","CH₄ + Cl∙ → CH₃∙ + HCl, CH₃∙ + Cl/u2082 → CH₃Cl + Cl∙"
"Alkanes","What is a termination?","A reaction involving two free radicals and resulting in no free radicals"
"Alkanes","Give an example of a termination","CH₃∙ + Cl∙ → CH₃Cl"
"Alkanes","Why do free radical substitutions result in impure products","Because there are many possible side reactions e.g. further substitution with chlorine or alkyl radical-radical reactions"
"Halogenoalkanes","What is a halogenoalkane?","A saturated hydrocarbon with a halogen bonded to at least one carbon"
"Halogenoalkanes","Name a given halogenoalkane","..."
"Halogenoalkanes","What explains halogenoalkanes increased reactivity relative to alkanes?","The polar carbon-halogen bond"
"Halogenoalkanes","Why do halogenoalkanes contain polar bonds?","Due to the difference in electronegativity between carbon and halogens"
"Halogenoalkanes","What kind of reactions do halogenoalkanes undergo?","Nucleophilic substitution"
"Halogenoalkanes","What is a nucleophile","A substance with a lone pair of electrons"
"Halogenoalkanes","Which three nucleophiles do halogenoalkanes react with?","OH⁻, CN⁻ and NH₃"
"Halogenoalkanes","What reagents and conditions are necessary for hydroxyl substitutions of halogenoalkanes?","Reflux in aqueous solution of NaOH"
"Halogenoalkanes","What reagents and conditions are necessary for nitrile (cyanide) substitution of halogenoalkanes?","Aqueous, alcoholic KCN"
"Halogenoalkanes","What is the importance of nucleophilic substitution with cyanide ions?","Increases the length of the carbon chain"
"Halogenoalkanes","What reagents and conditions are necessary for ammonia substitution of halogenoalkanes?","Reflux in aqueous, alcoholic excess ammonia"
"Halogenoalkanes","Why is excess ammonia required in its nucleophilic substitution with a halogenoalkane?","To prevent further substitutions"
"Halogenoalkanes","Draw a nucleophilic substitution mechanism for a given halogenoalkane reacting with a given nucelophile","..."
"Halogenoalkanes","How is the rate of reaction dependent on the enthalpy of the C-X bond?","The greater the enthalpy of the C-X bond, the greater its strength, the slower the reaction"
"Halogenoalkanes","What is the trend in C-X reaction rates","Increases down the group from C-F to C-I"
"Halogenoalkanes","What is an elimination reaction?","A reaction where a halogenoalkane becomes an alkene"
"Halogenoalkanes","Which elements are "eliminated" in an elimination reaction","H and X"
"Halogenoalkanes","What conditions favour elimination reactions?","Secondary or tertiary halogenoalkane, hot ethanolic KOH"
"Halogenoalkanes","Draw the mechanism for the elimination of a given halogenoalkane with OH⁻","..."
"Halogenoalkanes","What is ozone?","O₃"
"Halogenoalkanes","Where is ozone found and why is it beneficial?","Upper atmosphere, absorbs harmful UV radiation"
"Halogenoalkanes","What is a CFC?","A chlorfluorocarbon: a compound containing C-Cl and C-F bonds"
"Halogenoalkanes","What were CFCs used for?","Refrigerants and solvents"
"Halogenoalkanes","What happens to CFCs when exposed to UV?","C-Cl bond breaks and generates Cl∙"
"Halogenoalkanes","How do chlorine radicals interact with ozone?","Catalyse its decomposition into O/u2082 thus forming a "hole" in the ozone layer"
"Halogenoalkanes","Why are CFCs now banned for use?","Due to research results from different groups within the scientific community"
"Halogenoalkanes","Give two equations showing the decomposition of ozone with chlorine radicals","Cl∙ + O₃ → ClO∙ + O/u2082 , ClO∙ + O₃ → 2O/u2082 + Cl∙"
"Halogenoalkanes","What is the overall equation for the decomposition of ozone?","2O₃ → 3O/u2082"
"Alkenes","What is an alkene?","A hydrocarbon with a carbon-carbon double bond"
"Alkenes","Why are alkenes described as unsaturated?","They have a carbon-carbon double bond"
"Alkenes","Describe the electron density of the double bond","It is a region of high electron density"
"Alkenes","Draw the shape of the carbon-carbon double bond orbitals","..."
"Alkenes","What type of isomerism can alkenes exhibit?","Stereoisomerism (E-Z or cis-trans)"
"Alkenes","What physical feature of alkenes causes their stereoisomerism?","That the double bond cannot rotate"
"Alkenes","Name a given alkene","..."
"Alkenes","What two type of reactions do alkenes typically undergo?","Electrophilic addition or polymerisation"
"Alkenes","Which three reagents do alkenes typically react with?","HBr, H/u2082SO₄ and Br/u2082"
"Alkenes","What type of reagents do alkenes react with?","Electrophiles"
"Alkenes","What are the products of an electrophilic addition reaction with Br/u2082?","A dibromoalkane"
"Alkenes","Draw a reaction mechanism for a given alkene with Br/u2082","..."
"Alkenes","Why is bromine water used as a test for alkenes?","The Br/u2082 reacts with the alkene so its reddish-brown colour is decolourised"
"Alkenes","What are the products of an addition reaction with HBr?","A bromoalkane"
"Alkenes","What is a carbocation intermediate?","An intermediate molecule in a reaction which has a positive charge on a carbon atom"
"Alkenes","From a given carbocation, state whether it is primary, secondary or tertiary","..."
"Alkenes","Describe the variation in stabilities of the different orders of carbocation","Tertiary > secondary > primary"
"Alkenes","How does stability of carbocations effect the products of an addition reaction with HBr?","More stable carbocation is formed resulting in a major and minor product"
"Alkenes","Draw a mechanism for an addition reaction of an alkene and HBr. Draw and label the major and minor products.","..."
"Alkenes","What is the product of a reaction with an alkene and concentrated H/u2082SO₄?","An alcohol"
"Alkenes","Draw a mechanism for the reaction between a given alkene and concentrated sulphuric acid","..."
"Alkenes","Why can sulphuric acid be considered a catalyst in hydration of alkenes?","It is regenerated by the end of the reaction."
"Alkenes","What are addition polymers formed from?","Alkenes and substituted alkenes"
"Alkenes","How are addition polymers named?","Poly(name of original alkene)"
"Alkenes","Draw the polymer for a given substituted alkene","..."
"Alkenes","Draw the monomer for a given section of polymer","..."
"Alkenes","What are the chemical properties of addition polymers?","Generally unreactive"
"Alkenes","Why are addition polymers unreactive?","Strong C-C and C-H bonds"
"Alkenes","What is PVC?","Poly(chloroethene)"
"Alkenes","What is a plasticiser?","A small molecule that can get inbetween polymer chains resulting in them being able to slide over one another more easily"
"Alcohols","What is an alcohol?","An organic compound with an -OH group"
"Alcohols","Draw the structure of the first three alcohols","Methanol, ethanol and propanol"
"Alcohols","Name a given alcohol, diol or triol","..."
"Alcohols","What are the physical properties of alcohols?","Relatively high mp and bp, miscible with water"
"Alcohols","Explain the physical properties of alcohols","OH group leads to hydrogen bonding"
"Alcohols","What are the two methods for production of ethanol?","Fermentation of glucose, hydration of ethene"
"Alcohols","What are the conditions for the production of ethanol from ethene?","Heat, sulphuric acid catalyst, water"
"Alcohols","What conditions are necessary for the fermentation of glucose?","Compromise temperature of 35°C, enzymes, sealed vessel"
"Alcohols","Give two advantages of production of ethanol from glucose","Low tech required, renewable, potentially carbon neutral"
"Alcohols","Give three disadvantages of production of ethanol from glucose","Slow, Low yield, Significant land use, Has to be distilled, Labour intensive"
"Alcohols","How is ethanol extracted after fermentation of glucose?","Fractional distillation"
"Alcohols","Give two advantages of production of ethanol from ethene","Fast reaction, Pure product, Continuous process, Low on manpower, High yield, 100% alcohol"
"Alcohols","Give three disadvantages of production of ethanol from ethene","High technology, Non-renewable source, Expensive equipment"
"Alcohols","Write a balanced symbol equation for the complete combustion of a given alcohol","..."
"Alcohols","What is a dehydration of an alcohol reaction?","One where water is eliminated from an alcohol"
"Alcohols","What is the product of a dehydration of an alcohol reaction","An alkene"
"Alcohols","What conditions are necessary for dehydration of an alcohol","Conc. phosphoric/sulphuric acid catalyst, heat and reflux"
"Alcohols","Draw a mechanism for the acid catalyzed dehydration of a given alcohol","..."
"Alcohols","What is the advantage of dehydrating alcohols to form alkenes?","Alkenes can be used as chemical feedstock without using crude oil"
"Alcohols","What is an oxidation reaction in organic chemistry?","A reaction where oxygen is added or hydrogen is removed from a compound"
"Alcohols","What can primary alcohols be oxidized to?","Aldehydes and carboxylic acids"
"Alcohols","What can secondary alcohols be oxidized to?","Ketones"
"Alcohols","What can tertiary alcohols be oxidized to?","Nothing"
"Alcohols","How is oxidation symbolized in an equation?","[O]"
"Alcohols","What reagent is used for the oxidation of alcohols?","Acidified potassium dichromate"
"Alcohols","What colour change is observed in the oxidation of alcohols?","Acidified potassium dichromate turns green from orange"
"Alcohols","Which experimental method is used to convert alcohols to carboxylic acids?","Reflux"
"Alcohols","Which experimental method is used to convert alcohols to aldehyde","Distillation"
"Alcohols","Which chemical tests can distinguish between aldehydes and ketones?","Tollens's reagent or Fehling's solution"
"Alcohols","What is observed when Tollens' reagent is added to aldehydes?","Silver mirror"
"Alcohols","What is observed when Fehling's solution is added to aldehydes?","Orange precipitate"
"Organic analysis","What is observed when sodium is added to an alcohol?","Fizzing"
"Organic analysis","What is observed when potassium dichromate is added to a primary or secondary alcohol?","Turns orange --> green"
"Organic analysis","What is the test to differentiate between an aldehyde or a ketone?","Fehling's, Benedict's or Tollen's"
"Organic analysis","What is the test and observation for an alkene?","Bromine water, orange --> colourless"
"Organic analysis","What are the steps to test for a halogenoalkane?","Add sodium hydroxide, nitric acid, then silver nitrate"
"Organic analysis","What is the observation when using silver nitrate to test for the different halogenoalkanes?","Chlorine gives white precipitate, bromine cream, iodine yellow"
"Organic analysis","What is the test and observation for a carboxylic acid?","Add sodium hydrogen carbonate, fizzing"
"Organic analysis","How can the results from mass spectrometry be used to work out the molecular mass of a compound?","By the mass of the final peak in the spectrum"
"Organic analysis","How can high resolution mass spectrometry distinguish between molecules with the same molecular mass?","By resolving their masses to a greater/more precise number of decimal places"
"Organic analysis","What is awavenumber?","1/wavelength"
"Organic analysis","Which regions in an IR spectra will show peaks for a given organic compound","..."
"Organic analysis","What causes global warming?","Absorbption of IR waves by bonds in greenhouse gases"
"Organic analysis","What are the three main greenhouse gases?","Carbon dioxide, methane, water vapour"
"Energetics","What is enthalpy?","A measure of the heat energy of a substance"
"Energetics","What is enthalpy change ΔH?","The change in heat energy of a substance at constant pressure"
"Energetics","What is the unit of ΔH?","KJmol-1"
"Energetics","What is ΔHθ?","The change in heat energy under standard conditions - 100kPa + 298K"
"Energetics","Are breaking bonds exo/endothermic? Explain your answer","Endo - energy is taken in to break the bonds"
"Energetics","Are making bonds exo/endothermic? Explain your answer","Exo- energy is given out when bonds are made"
"Energetics","Draw an energy level diagram for an exothermic reaction","..."
"Energetics","Draw an energy level diagram for an endothermic reaction","..."
"Energetics","How do you calculate the overall energy change of a reaction?","Energy released when bonds are made in the products- energy needed to break bonds in the reactants"
"Energetics","In an exothermic reaction is the enthalpy change positive or negative?","negative"
"Energetics","Why is the enthalpy change in an exothermic reaction negative?","The products have less energy than the reactants because energy is lost to the surroundings"
"Energetics","In an endothermic reaction in the enthalpy change positive or negative?","positive"
"Energetics","Why is the enthalpy change in an endothermic reaction positive?","The products have more energy than the reactants because energy is taken in fron the surroundings"
"Energetics","What is the standard enthalpy of formation∆Hf?","The enthalpy change when one mole of a compound is formed from its elements in their standard states under standard conditions"
"Energetics","Write an equation to show the standard enthalpy of formation of ethanol","2C(s) + 3H/u2082(g) + 1/2 O2(g)→C/u2082H5OH(l)"
"Energetics","What is the standard enthalpy of combustion∆Hc?","The enthalpy change when one mole of a compound is completely burned in oxygen in standard conditions"
"Energetics","Write an equation to show the standard enthalpy of combustion of ethene.","C/u2082H4(g) + 3O/u2082(g) → 2CO/u2082(g) + 2H/u2082O(l)"
"Energetics","What is the mean bond enthalpy (bond dissociation enthalpy)?","The average energy needed to break a certain type of bonds in a range of compounds"
"Energetics","Why are bond enthalpies always positive?","energy is required to break bonds - endothermic"
